Equipo,Escalador,X,Y,Z,Inclinacion X,Inclinacion Y,Cima
LIFFT,facu,14000,14000,3134.8,-185.13,-181.13,
LIFFT,lucas,14000,14000,3134.8,-185.13,-181.13,
LIFFT,fran,14000,14000,3134.8,-185.13,-181.13,
LIFFT,ivan,14000,14000,3134.8,-185.13,-181.13,
LIFFT,facu,14000,14000,3134.8,-185.13,-181.13,
LIFFT,lucas,14000,14000,3134.8,-185.13,-181.13,
LIFFT,fran,14000,14000,3134.8,-185.13,-181.13,
LIFFT,ivan,14000,14000,3134.8,-185.13,-181.13,
LIFFT,facu,14000,14000,3134.8,-185.13,-181.13,
LIFFT,lucas,14000,14000,3134.8,-185.13,-181.13,
LIFFT,fran,14000,14000,3134.8,-185.13,-181.13,
LIFFT,ivan,14000,14000,3134.8,-185.13,-181.13,
LIFFT,facu,14000,14000,3134.8,-185.13,-181.13,
LIFFT,lucas,14000,14000,3134.8,-185.13,-181.13,
LIFFT,fran,14000,14000,3134.8,-185.13,-181.13,
LIFFT,ivan,14000,14000,3134.8,-185.13,-181.13,
LIFFT,facu,14000,14000,3134.8,-185.13,-181.13,
LIFFT,lucas,14000,14000,3134.8,-185.13,-181.13,
LIFFT,fran,14000,14000,3134.8,-185.13,-181.13,
LIFFT,ivan,14000,14000,3134.8,-185.13,-181.13,
LIFFT,facu,14000,14000,3134.8,-185.13,-181.13,
LIFFT,lucas,14000,14000,3134.8,-185.13,-181.13,
LIFFT,fran,14000,14000,3134.8,-185.13,-181.13,
LIFFT,ivan,14000,14000,3134.8,-185.13,-181.13,
LIFFT,facu,14000,14000,3134.8,-185.13,-181.13,
LIFFT,lucas,14000,14000,3134.8,-185.13,-181.13,
LIFFT,fran,14000,14000,3134.8,-185.13,-181.13,
LIFFT,ivan,14000,14000,3134.8,-185.13,-181.13,
LIFFT,facu,14000,14000,3134.8,-185.13,-181.13,
LIFFT,lucas,14000,14000,3134.8,-185.13,-181.13,
LIFFT,fran,14000,14000,3134.8,-185.13,-181.13,
LIFFT,ivan,14000,14000,3134.8,-185.13,-181.13,
LIFFT,facu,14000,14000,3134.8,-185.13,-181.13,
LIFFT,lucas,14000,14000,3134.8,-185.13,-181.13,
LIFFT,fran,14000,14000,3134.8,-185.13,-181.13,
LIFFT,ivan,14000,14000,3134.8,-185.13,-181.13,
LIFFT,facu,13969.72000793404,14039.788466676731,3133.5,-185.144,-181.266,
LIFFT,lucas,13954.084667282073,14019.793489369036,3139.1,-184.869,-180.983,
LIFFT,fran,14046.900782473105,13982.670354781172,3130.0,-185.418,-181.306,
LIFFT,ivan,13965.040692242197,13964.253016895194,3146.1,-184.578,-180.576,
LIFFT,facu,13969.72000793404,14039.788466676731,3133.5,-185.144,-181.266,
LIFFT,lucas,13954.084667282073,14019.793489369036,3139.1,-184.869,-180.983,
LIFFT,fran,14046.900782473105,13982.670354781172,3130.0,-185.418,-181.306,
LIFFT,ivan,13965.040692242197,13964.253016895194,3146.1,-184.578,-180.576,
LIFFT,facu,13969.72000793404,14039.788466676731,3133.5,-185.144,-181.266,
