EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14475.0, 14000.0, 3057.5269376181477
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14510.08896282903, 14294.5, 3004.12577332119
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14361.0, 14625.270341532381, 2974.912731275962
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 14608.0, 3037.686412098298
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13762.5, 14411.36206679761, 3108.026838875595
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 13391.18414113955, 14351.5, 3176.9190106211763
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 14627.0, 14000.0, 3032.4242381852555
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13555.728967858595, 14256.5, 3165.661362495923
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14123.5, 13786.091725265229, 3148.5861928186696
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 14760.0, 3012.9595463138
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13591.5, 13292.457245108097, 3307.7777777852525
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14526.543445500927, 14304.0, 2999.835029711452
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14500.0, 14000.0, 3053.410207939508
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14536.935750346347, 14310.0, 2997.1227055503996
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14380.0, 14658.17930687619, 2966.310310234243
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13750.0, 14433.012701892221, 3106.6007407180605
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 13359.141201199527, 14370.0, 3179.101535205346
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 14660.0, 14000.0, 3026.951228733459
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13532.346281956416, 14270.0, 3167.266244689946
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14130.0, 13774.83339501603, 3149.3053891019617
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 14800.0, 3006.423440453686
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13570.0, 13255.218152745365, 3316.6427290953384
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14554.256258422029, 14320.0, 2992.5980692328094
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14525.0, 14000.0, 3049.288752362949
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14563.782537863664, 14325.5, 2990.107336831931
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14399.0, 14691.08827222, 2957.6894057706213
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 14672.0, 3027.2963931947074
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13737.5, 14454.663336986832, 3105.1731908607294
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 13327.098261259503, 14388.5, 3181.2808799862814
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 14693.0, 14000.0, 3021.469984877126
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13508.963596054236, 14283.5, 3168.869433621325
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14136.5, 13763.575064766832, 3150.0241928456285
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 14840.0, 2999.8752362948962
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13548.5, 13217.979060382633, 3325.4840129212853
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14581.96907134313, 14336.0, 2985.3480013968074
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14575.0, 14000.0, 3041.0316635160684
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14617.4761128983, 14356.5, 2976.0396965519594
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14437.0, 14756.90620290762, 2940.3921465776766
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 14736.0, 3016.875402646503
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13712.5, 14497.964607176054, 3102.313736046679
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 13263.012381379456, 14425.5, 3185.6300301384485
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 14759.0, 14000.0, 3010.4827939508505
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13462.198224249878, 14310.5, 3172.070731696155
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14149.5, 13741.058404268435, 3151.460622714087
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 14920.0, 2986.7425330812853
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13505.5, 13143.50087565717, 3343.095578120765
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14637.394697185333, 14368.0, 2970.8085436527253
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14600.0, 14000.0, 3036.896030245747
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14644.322900415616, 14372.0, 2968.987424990456
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14456.0, 14789.815168251429, 2931.7157918483526
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 14768.0, 3011.653293005671
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13700.0, 14519.615242270665, 3100.8818310899583
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 13230.969441439433, 14444.0, 3187.79983550968
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 14792.0, 14000.0, 3004.976846880907
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13438.815538347699, 14324.0, 3173.668840839605
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14156.0, 13729.800074019236, 3152.178248838878
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 14960.0, 2980.158034026465
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13484.0, 13106.261783294438, 3351.8658594942967
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14665.107510106434, 14384.0, 2963.5191537446453
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14625.0, 14000.0, 3032.755671077504
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14671.169687932934, 14387.5, 2961.922852481275
