EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 0, 0, 4926.0
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 15.759659664531892, 25.527105736023554, 4927.303605917246
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 9.649660284921133, -2.6237485370392877, 4926.198371608566
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 36.97286310012832, 46.74030917161998, 4928.61369166583
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 19.299320569842266, -5.247497074078575, 4926.396293381603
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 59.48975859084077, 66.5642698621665, 4929.904256974005
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 28.9489808547634, -7.871245611117863, 4926.59376531911
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 83.29675540060438, 84.81877349551422, 4931.1692246804505
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 38.59864113968453, -10.49499414815715, 4926.790787421089
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 108.35040289334898, 101.32073541854906, 4932.401786952532
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 48.248301424605664, -13.118742685196437, 4926.987359687539
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 161.85414499781058, 128.37361507162882, 4934.740127703505
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 67.54762199444792, -18.36623975927501, 4927.379154713852
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 190.04686329601338, 138.62888859105195, 4935.830977699651
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 77.19728227936906, -20.989988296314298, 4927.574377473714
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 218.97916181689922, 146.56123391247786, 4936.860415846337
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 86.8469425642902, -23.613736833353585, 4927.769150398048
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 248.46014650140629, 152.11745043380418, 4937.82276181805
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 96.49660284921134, -26.23748537039287, 4927.963473486852
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 278.2917463657641, 155.29166679896417, 4938.713733852142
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 106.14626313413248, -28.861233907432158, 4928.157346740129
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 308.28020007331435, 156.12391930278528, 4939.530642716135
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 115.79592341905362, -31.484982444471445, 4928.350770157875
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 338.24613347659243, 154.69464141857114, 4940.272420672827
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 125.44558370397476, -34.10873098151073, 4928.543743740092
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 368.03196335606265, 151.11632639732701, 4940.9395007739995
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 135.0952439888959, -36.73247951855002, 4928.736267486781
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 397.5061095989588, 145.52394736400214, 4941.533588270428
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 144.74490427381704, -39.35622805558931, 4928.928341397941
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 426.56420274737167, 138.065581418424, 4942.057376135275
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 154.39456455873818, -41.9799765926286, 4929.119965473572
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 0, 0, 4926.0
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 15.759659664531892, 25.527105736023554, 4927.303605917246
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 9.649660284921133, -2.6237485370392877, 4926.198371608566
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 31.519319329063784, 51.05421147204711, 4928.595539414094
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 19.299320569842266, -5.247497074078575, 4926.396293381603
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 47.27897899359567, 76.58131720807066, 4929.875800490542
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 28.9489808547634, -7.871245611117863, 4926.59376531911
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 63.03863865812757, 102.10842294409422, 4931.144389146591
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 38.59864113968453, -10.49499414815715, 4926.790787421089
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 78.79829832265946, 127.63552868011777, 4932.401305382241
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 48.248301424605664, -13.118742685196437, 4926.987359687539
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 94.55795798719136, 153.16263441614132, 4933.646549197491
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 57.8979617095268, -15.742491222235724, 4927.183482118459
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 110.31761765172325, 178.68974015216486, 4934.880120592343
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 67.54762199444792, -18.36623975927501, 4927.379154713852
EQUIPO: LIFFT     	ESCALADOR: facu      	POSICION: 126.07727731625515, 204.2168458881884, 4936.102019566794
EQUIPO: LIFFT     	ESCALADOR: lucas     	POSICION: 77.19728227936906, -20.989988296314298, 4927.574377473714
